PedigreeName	IndividualName	FieldID1	Stream	WildorHat?	TissueType	SpeciesID	DateSampled	Length mm	LengthFork1	Weight	CaptureMethod	SamplerName	Gender	LH Stage	Comments
OmyAC19PAUC	OmyAC19PAUC_0018	018	Paulina Creek	NOR	Caudal fin	787	7/2/2019	245	24.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0019	019	Paulina Creek	NOR	Caudal fin	787	7/2/2019	115	11.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0020	020	Paulina Creek	NOR	Caudal fin	787	7/2/2019	210	21		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0021	021	Paulina Creek	NOR	Caudal fin	787	7/2/2019	130	13		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0022	022	Paulina Creek	NOR	Caudal fin	787	7/2/2019	105	10.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0023	023	Paulina Creek	NOR	Caudal fin	787	7/2/2019	105	10.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0024	024	Paulina Creek	NOR	Caudal fin	787	7/2/2019	220	22		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0025	025	Paulina Creek	NOR	Caudal fin	787	7/2/2019	155	15.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0026	026	Paulina Creek	NOR	Caudal fin	787	7/2/2019	130	13		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0027	027	Paulina Creek	NOR	Caudal fin	787	7/2/2019	105	10.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0028	028	Paulina Creek	NOR	Caudal fin	787	7/2/2019	275	27.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0029	029	Paulina Creek	NOR	Caudal fin	787	7/2/2019	250	25		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0030	030	Paulina Creek	NOR	Caudal fin	787	7/2/2019	135	13.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0031	031	Paulina Creek	NOR	Caudal fin	787	7/2/2019	200	20		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0032	032	Paulina Creek	NOR	Caudal fin	787	7/2/2019	115	11.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0033	033	Paulina Creek	NOR	Caudal fin	787	7/2/2019	205	20.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0034	034	Paulina Creek	NOR	Caudal fin	787	7/2/2019	220	22		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0035	035	Paulina Creek	NOR	Caudal fin	787	7/2/2019	225	22.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0036	036	Paulina Creek	NOR	Caudal fin	787	7/2/2019	205	20.5		Backpack e-fishing	Tim Porter			
OmyAC19PAUC	OmyAC19PAUC_0037	037	Paulina Creek	NOR	Caudal fin	787	7/2/2019	105	10.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0038	038	Twelvemile Creek		Caudal fin	95	7/3/2019	211	21.1		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0039	039	Twelvemile Creek		Caudal fin	95	7/3/2019	233	23.3		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0040	040	Twelvemile Creek		Caudal fin	95	7/3/2019	198	19.8		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0041	041	Twelvemile Creek		Caudal fin	95	7/3/2019	223	22.3		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0042	042	Twelvemile Creek		Caudal fin	95	7/3/2019	251	25.1		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0043	043	South Fork Crooked River		Caudal fin	95	10/10/2019	195	19.5	72	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0044	044	South Fork Crooked River		Caudal fin	95	10/10/2019	235	23.5	136	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0045	045	South Fork Crooked River		Caudal fin	95	10/10/2019	188	18.8	57	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0046	046	South Fork Crooked River		Caudal fin	95	10/10/2019	340	34	356	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0047	047	South Fork Crooked River		Caudal fin	95	10/10/2019	290	29	249	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0048	048	South Fork Crooked River		Caudal fin	95	10/10/2019	240	24	139	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0049	049	South Fork Crooked River		Caudal fin	95	10/10/2019	290	29	242	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0050	050	South Fork Crooked River		Caudal fin	95	10/11/2019	238	23.8	114	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0051	051	South Fork Crooked River		Caudal fin	95	10/11/2019	163	16.3	38	Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0052	052	Twelvemile Creek		Caudal fin	95	11/12/2019	210	21		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0053	053	Twelvemile Creek		Caudal fin	95	11/12/2019	300	30		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0054	054	Twelvemile Creek		Caudal fin	95	11/12/2019	205	20.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0055	055	Twelvemile Creek		Caudal fin	95	11/12/2019	215	21.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0056	056	Twelvemile Creek		Caudal fin	95	11/12/2019	175	17.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0057	057	Twelvemile Creek		Caudal fin	95	11/12/2019	205	20.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0058	058	Twelvemile Creek		Caudal fin	95	11/12/2019	95	9.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0059	059	Twelvemile Creek		Caudal fin	95	11/12/2019	180	18		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0060	060	Twelvemile Creek		Caudal fin	95	11/12/2019	245	24.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0061	061	Twelvemile Creek		Caudal fin	95	11/12/2019	180	18		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0062	062	Twelvemile Creek		Caudal fin	95	11/12/2019	225	22.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0063	063	Twelvemile Creek		Caudal fin	95	11/12/2019	200	20		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0064	064	Twelvemile Creek		Caudal fin	95	11/12/2019	215	21.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0065	065	Twelvemile Creek		Caudal fin	95	11/12/2019	195	19.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0066	066	Twelvemile Creek		Caudal fin	95	11/12/2019	260	26		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0067	067	Twelvemile Creek		Caudal fin	95	11/12/2019	280	28		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0068	068	Twelvemile Creek		Caudal fin	95	11/12/2019	225	22.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0069	069	Twelvemile Creek		Caudal fin	95	11/12/2019	230	23		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0070	070	Twelvemile Creek		Caudal fin	95	11/12/2019	195	19.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0071	071	Twelvemile Creek		Caudal fin	95	11/12/2019	180	18		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0072	072	Twelvemile Creek		Caudal fin	95	11/12/2019	190	19		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0073	073	Twelvemile Creek		Caudal fin	95	11/12/2019	240	24		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0074	074	Twelvemile Creek		Caudal fin	95	11/12/2019	210	21		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0075	075	Twelvemile Creek		Caudal fin	95	11/12/2019	190	19		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0076	076	Twelvemile Creek		Caudal fin	95	11/12/2019	210	21		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0077	077	Twelvemile Creek		Caudal fin	95	11/12/2019	87	8.7		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0078	078	Twelvemile Creek		Caudal fin	95	11/12/2019	215	21.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0079	079	Twelvemile Creek		Caudal fin	95	11/12/2019	205	20.5		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0080	080	Twelvemile Creek		Caudal fin	95	11/12/2019	180	18		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0081	081	Twelvemile Creek		Caudal fin	95	11/12/2019	180	18		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0082	082	Twelvemile Creek		Caudal fin	95	11/12/2019	190	19		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0083	083	Twelvemile Creek		Caudal fin	95	11/12/2019	93	9.3		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0084	084	Twelvemile Creek		Caudal fin	95	11/12/2019	240	24		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0085	085	Twelvemile Creek		Caudal fin	95	11/12/2019	230	23		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0086	086	Twelvemile Creek		Caudal fin	95	11/12/2019	180	18		Backpack e-fishing	Tim Porter			
OmyAC19SFCR	OmyAC19SFCR_0087	087	Twelvemile Creek		Caudal fin	95	11/12/2019	240	24		Backpack e-fishing	Tim Porter			
OmyAC20SFCR	OmyAC20SFCR_0088	088	South Fork Crooked River		Caudal fin	95	10/7/2020	275	27.5	232	Backpack e-fishing	Tim Porter			
OmyAC20SFCR	OmyAC20SFCR_0089	089	South Fork Crooked River		Caudal fin	95	10/7/2020	93	9.3		Backpack e-fishing	Tim Porter			
OmyAC20SFCR	OmyAC20SFCR_0090	090	South Fork Crooked River		Caudal fin	95	10/7/2020	93	9.3		Backpack e-fishing	Tim Porter			
OmyAC20SFCR	OmyAC20SFCR_0091	091	South Fork Crooked River		Caudal fin	95	10/8/2020	323	32.3	300	Backpack e-fishing	Tim Porter			
OmyAC20SFCR	OmyAC20SFCR_0092	092	South Fork Crooked River		Caudal fin	95	10/8/2020	210	21	98	Backpack e-fishing	Tim Porter			
OmyAC20SFCR	OmyAC20SFCR_0093	093	South Fork Crooked River		Caudal fin	95	10/8/2020	325	32.5	302	Backpack e-fishing	Tim Porter			
