Individual name	Pedigree name	Age	Brood Year	Capture Location (4)	Collected By	Collection Year	Comment	Date Collected	Fork Length (mm)	Hatchery / Wild	HOR / NOR assignment	Latitude	Life History Stage	Longitude	Phenotypic sex	PIT Tag	Population ID	Preservation Method	Project number	Received From	Region (1)	Resident / Anadromous	Run Type	Spawn Date	Spawn Year	Spawned with	Species	Synonym 1	Synonym 2	Synonym 3	Tissue Type	Total Length (mm)	Tributary (3)	Used for broodstock	Watershed (2)	Weight (g)
765-042	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_042			Fin Clip				Deschutes River	
765-043	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_043			Fin Clip				Deschutes River	
765-044	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_044			Fin Clip				Deschutes River	
765-045	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_045			Fin Clip				Deschutes River	
765-046	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_046			Fin Clip				Deschutes River	
765-047	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_047			Fin Clip				Deschutes River	
765-048	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_048			Fin Clip				Deschutes River	
765-049	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_049			Fin Clip				Deschutes River	
765-050	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_050			Fin Clip				Deschutes River	
765-051	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_051			Fin Clip				Deschutes River	
765-052	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_052			Fin Clip				Deschutes River	
765-053	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_053			Fin Clip				Deschutes River	
765-054	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_054			Fin Clip				Deschutes River	
765-055	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_055			Fin Clip				Deschutes River	
765-056	765			Maupin Oregon; Oak Springs Hat.	Wise and Marx	2006		8/29/2006		Hatchery			Adult					Ethanol	20		Columbia River						Oncorhynchus mykiss	HAT(53)_056			Fin Clip				Deschutes River	
1589-001	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	601	Roar0601		Fin Clip		Santiam River		Willamette River	
1589-002	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	602	Roar0602		Fin Clip		Santiam River		Willamette River	
1589-003	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	603	Roar0603		Fin Clip		Santiam River		Willamette River	
1589-004	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	604	Roar0604		Fin Clip		Santiam River		Willamette River	
1589-005	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	605	Roar0605		Fin Clip		Santiam River		Willamette River	
1589-006	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	313	Roar0313		Fin Clip		Santiam River		Willamette River	
1589-007	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	314	Roar0314		Fin Clip		Santiam River		Willamette River	
1589-008	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	319	Roar0319		Fin Clip		Santiam River		Willamette River	
1589-009	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	320	Roar0320		Fin Clip		Santiam River		Willamette River	
1589-010	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	321	Roar0321		Fin Clip		Santiam River		Willamette River	
1589-011	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	322	Roar0322		Fin Clip		Santiam River		Willamette River	
1589-012	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	323	Roar0323		Fin Clip		Santiam River		Willamette River	
1589-013	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	324	Roar0324		Fin Clip		Santiam River		Willamette River	
1589-014	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	231	Roar0231		Fin Clip		Santiam River		Willamette River	
1589-015	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	232	Roar0232		Fin Clip		Santiam River		Willamette River	
1589-016	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	242	Roar0242		Fin Clip		Santiam River		Willamette River	
1589-017	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	243	Roar0243		Fin Clip		Santiam River		Willamette River	
1589-018	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	244	Roar0244		Fin Clip		Santiam River		Willamette River	
1589-019	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	245	Roar0245		Fin Clip		Santiam River		Willamette River	
1589-020	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	246	Roar0246		Fin Clip		Santiam River		Willamette River	
1589-021	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	247	Roar0247		Fin Clip		Santiam River		Willamette River	
1589-022	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	248	Roar0248		Fin Clip		Santiam River		Willamette River	
1589-023	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	249	Roar0249		Fin Clip		Santiam River		Willamette River	
1589-024	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	250	Roar0250		Fin Clip		Santiam River		Willamette River	
1589-025	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	275	Roar0275		Fin Clip		Santiam River		Willamette River	
1589-026	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	276	Roar0276		Fin Clip		Santiam River		Willamette River	
1589-027	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	277	Roar0277		Fin Clip		Santiam River		Willamette River	
1589-028	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	278	Roar0278		Fin Clip		Santiam River		Willamette River	
1589-029	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	279	Roar0279		Fin Clip		Santiam River		Willamette River	
1589-030	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	280	Roar0280		Fin Clip		Santiam River		Willamette River	
1589-031	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	281	Roar0281		Fin Clip		Santiam River		Willamette River	
1589-032	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	282	Roar0282		Fin Clip		Santiam River		Willamette River	
1589-033	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	283	Roar0283		Fin Clip		Santiam River		Willamette River	
1589-034	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	284	Roar0284		Fin Clip		Santiam River		Willamette River	
1589-035	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	285	Roar0285		Fin Clip		Santiam River		Willamette River	
1589-036	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	286	Roar0286		Fin Clip		Santiam River		Willamette River	
1589-037	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	287	Roar0287		Fin Clip		Santiam River		Willamette River	
1589-038	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	288	Roar0288		Fin Clip		Santiam River		Willamette River	
1589-039	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	289	Roar0289		Fin Clip		Santiam River		Willamette River	
1589-040	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	290	Roar0290		Fin Clip		Santiam River		Willamette River	
1589-041	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	291	Roar0291		Fin Clip		Santiam River		Willamette River	
1589-042	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	292	Roar0292		Fin Clip		Santiam River		Willamette River	
1589-043	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	293	Roar0293		Fin Clip		Santiam River		Willamette River	
1589-044	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	294	Roar0294		Fin Clip		Santiam River		Willamette River	
1589-045	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	295	Roar0295		Fin Clip		Santiam River		Willamette River	
1589-046	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	296	Roar0296		Fin Clip		Santiam River		Willamette River	
1589-047	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	297	Roar0297		Fin Clip		Santiam River		Willamette River	
1589-048	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	298	Roar0298		Fin Clip		Santiam River		Willamette River	
1589-049	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	299	Roar0299		Fin Clip		Santiam River		Willamette River	
1589-050	1589			Roaring River Hatchery Cape Cod Stock		2009		4/15/2009										Ethanol	56		Columbia River						Oncorhynchus mykiss	300	Roar0300		Fin Clip		Santiam River		Willamette River	
2759-001	2759			Wizard Falls Fish Hatchery	Steve Starcerich; ODFW	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-002	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-003	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-004	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
2759-005	2759			Wizard Falls Fish Hatchery	Steve Starcerich; Oregon State University	2016	Crane Prairie Hatchery Stock	7/27/2016									Wizard Falls Fish Hatchery	Ethanol	102		Columbia River						Oncorhynchus mykiss				Fin Clip		Metolius River		Deschutes River	
